uniqueID,sentenceType,ob_homophone,c1,c2,maxKL
235,pun,prophet, non , atheism;organization ,0.539950751
235,pun,pi, circumference , get;large ,4.698561517
235,pun,knead, bakers;bread;recipes , basis;know;trade ,443.667048
235,pun,oar, choose;either;indecisive;not , rower ,28.28142586
235,pun,tiers, emotional;even , cake;wedding ,3.980315302
235,pun,poll, conduct;decided;flag , country;new ,21.15018838
235,pun,bored, chairman;executive , meetings ,0.507312637
235,pun,greece, donuts , donuts;know;made ,0.47276669
235,pun,sine, above;hoping;prayed;tests , trigonometry ,12.2061003
235,pun,principal, disliked;john;not , just;school ,33.92117031
235,pun,cd, music;stores , part;town ,48.42532997
235,pun,hare, magician , got;mad;out;pulled ,14.14353867
235,pun,knotty, sapling , admonished;apparently;father;pine;young ,3.226238237
235,pun,taut, rope , learn;tricks ,3.904213797
235,pun,marx, class;communism , dropped;lousy;out ,26.71865268
235,pun,hi, people , boy;instinctively;natural;waves ,1.53063172
235,pun,daze, school , end;having;longs;school;teacher;time;tough ,2.817901198
235,pun,prose, authors , cons;jail ,4.888277294
235,pun,plane, flying;food , eat;expect;fancy;not ,23.87786839
235,pun,dam, beaver , best;ever;movie;movie;night;saw;seen ,35.94228583
235,pun,hertz, computer , slow ,3.298152095
235,pun,role, great , actors;movie ,75.94923028
235,pun,collar, name;put , id;man;neck;shirt ,213.3281886
235,pun,steal, muscles , thieves ,18.7643522
235,pun,dye, gray;hair;strands , actress;saw;thought ,78.33825575
235,pun,waist, belt , cardboard;paper ,13.83790446
235,pun,feet, able;being;fit;quite , fourteen;shoes;size ,67.35047813
235,pun,aloud, say , mime;not;wanted ,10.18034158
235,pun,pail, buckets;carry , feeling;start;those ,40.71739359
235,pun,manor, castle;home , man's;speaking ,75.21348242
235,pun,cache, computer;online , chips;ended;poker;suddenly;tournament ,70.1418141
235,pun,reign, britain;long;queen , place;wet ,129.4847499
235,pun,thyme, gardeners;herb , extra;get;work ,139.5674617
235,pun,pore, bad;excuse;say;say , skin ,24.52558602
235,pun,gilt, gold , complex;like;paint;people ,1.315120856
235,pun,heir, human , human ,0
235,pun,son, boy;only , got;rest ,12.33879954
235,pun,c's, singers , cannot;high;hit;make;novice;pirates;singers;terrible ,3.002668426
235,pun,watt, bright;electrician;spark , knows;what's ,173.9964606
235,pun,razor, slash , budget;fund;mayor;turned;wanted ,16.61402622
235,pun,knot, know , boyscouts;ropes;tie ,771.8527934
235,pun,wood, ask;ask , trees ,31.00419919
235,pun,grader, afraid;cheddar;colby;jack;jr , cheese;person;school ,28.82899628
235,pun,eye, blind , blind;see ,40.12178777
