uniqueID,sentenceType,isOrig,KL,minKL
1,pun,0,3.80890934271e-08,1.61328994475e-08
2,pun,0,2.68585891948e-08,9.32218193977e-09
3,pun,0,7.00990583189e-08,2.57591964972e-08
4,pun,0,1.03102692501e-07,4.9403195535e-08
5,pun,0,5.00276974037e-08,2.22758382004e-08
6,pun,0,4.1457904395e-08,1.65176737751e-08
7,pun,0,6.77039206916e-08,3.16642489216e-08
8,pun,0,2.95264128789e-08,1.0941283815e-08
9,pun,0,3.18162021095e-08,1.19141594328e-08
10,pun,0,3.71135813134e-08,1.38805315805e-08
11,pun,0,5.36600557541e-08,1.85960738732e-08
12,pun,0,4.31140353277e-08,1.65874453375e-08
13,pun,0,3.0592699118e-08,1.12998130004e-08
14,pun,0,5.43827366914e-08,2.70613395603e-08
15,pun,0,4.01963807057e-08,1.41272738203e-08
16,pun,0,2.97140772731e-08,1.09953835233e-08
17,pun,0,4.88913661978e-08,2.34188303922e-08
18,pun,0,4.7651101601e-08,2.2628111775e-08
19,pun,0,5.39781357001e-08,1.81482177765e-08
20,pun,0,4.22058689035e-08,1.5016417734e-08
21,pun,0,3.45678127382e-08,1.21010552629e-08
22,pun,0,4.84760819193e-08,1.72003499383e-08
23,pun,0,7.23705438605e-08,2.60142332799e-08
24,pun,0,6.23250707254e-08,2.0516743156e-08
25,pun,0,4.95201148459e-08,1.71064904702e-08
26,pun,0,5.22020364857e-08,2.03908612267e-08
27,pun,0,5.49380103082e-08,1.90784905735e-08
28,pun,0,3.62791447174e-08,1.32622928245e-08
29,pun,0,3.92030686638e-08,1.4117079686e-08
30,pun,0,5.40243265126e-08,1.99361794369e-08
31,pun,0,6.36147707292e-08,2.8115137143e-08
32,pun,0,1.04042286484e-07,5.18992502557e-08
33,pun,0,8.01080299322e-08,2.87914998982e-08
34,pun,0,5.14354272656e-08,1.92156076311e-08
35,pun,0,3.14412179332e-08,1.17355715016e-08
36,pun,0,2.63708833445e-08,9.06285512211e-09
37,pun,0,4.56701911655e-08,1.5449450705e-08
38,pun,0,5.97145638385e-08,2.84829157571e-08
39,pun,0,9.13960389881e-08,4.07581212514e-08
40,pun,0,4.69688861146e-08,1.75401015232e-08
41,pun,0,9.92936015759e-08,3.19925913702e-08
42,pun,0,7.63452681563e-08,2.48289875629e-08
43,pun,0,7.20177346552e-08,3.18393566642e-08
44,pun,0,6.98138094323e-08,2.33327722514e-08
45,pun,0,5.97905540748e-08,1.94688760878e-08
46,pun,0,9.49873665281e-08,3.8150494744e-08
47,pun,0,5.83190396294e-08,2.58877594293e-08
48,pun,0,2.6820398236e-08,9.31237573212e-09
49,pun,0,6.40635382512e-08,2.04398745704e-08
50,pun,0,2.80496802833e-08,9.85681147274e-09
51,pun,0,8.40112872937e-08,3.37915476614e-08
52,pun,0,3.95167351527e-08,1.45050194109e-08
53,pun,0,6.12752915575e-08,2.36074187562e-08
54,pun,0,5.68850660374e-08,1.91176651055e-08
55,pun,0,2.74124370499e-08,9.65183196244e-09
56,pun,0,6.22333543184e-08,2.19183946728e-08
57,pun,0,5.10940350767e-08,1.84960974986e-08
58,pun,0,3.85543150428e-08,1.36742010638e-08
59,pun,0,4.59625741614e-08,1.57038414027e-08
60,pun,0,6.36415217962e-08,2.74040284608e-08
61,pun,0,5.56365161247e-08,1.87462262358e-08
62,pun,0,4.37348853284e-08,1.67856003502e-08
63,pun,0,5.58416524329e-08,1.96524695932e-08
64,pun,0,5.23191833989e-08,2.0806764741e-08
65,pun,0,6.25285626477e-08,2.8661694722e-08
66,depunned,0,3.78841746966e-08,1.60362682163e-08
67,depunned,0,2.98375758113e-08,1.11138892532e-08
68,depunned,0,3.87170285705e-08,1.5322133496e-08
69,depunned,0,7.2694181328e-08,3.26250492988e-08
70,depunned,0,4.45320357125e-08,2.03195494207e-08
71,depunned,0,3.51295835197e-08,1.26658739334e-08
72,depunned,0,6.58321111781e-08,3.08378699692e-08
73,depunned,0,2.80369883099e-08,9.78036549608e-09
74,depunned,0,2.95422225746e-08,1.08997737226e-08
75,depunned,0,2.92549210864e-08,1.06351017512e-08
76,depunned,0,3.09952724996e-08,1.10339606952e-08
77,depunned,0,3.23211802756e-08,1.27361306668e-08
78,depunned,0,3.06974562514e-08,1.15316843195e-08
79,depunned,0,5.2279923858e-08,2.59596333231e-08
80,depunned,0,2.99722970672e-08,1.11546983708e-08
81,depunned,0,2.80580307232e-08,1.00076595463e-08
82,depunned,0,4.88913661978e-08,2.34188303922e-08
83,depunned,0,4.57878773848e-08,2.19314052931e-08
84,depunned,0,2.77577658167e-08,9.77320353766e-09
85,depunned,0,2.84511765432e-08,1.02194221704e-08
86,depunned,0,2.64763942942e-08,9.11781845995e-09
87,depunned,0,3.789825859e-08,1.38385421561e-08
88,depunned,0,5.38569263219e-08,1.99628162957e-08
89,depunned,0,2.79000606497e-08,9.9362217805e-09
90,depunned,0,2.67187123713e-08,9.24525564224e-09
91,depunned,0,3.5216240528e-08,1.4492174866e-08
92,depunned,0,3.40013438566e-08,1.23284043855e-08
93,depunned,0,3.63751502427e-08,1.33258119219e-08
94,depunned,0,2.98528986931e-08,1.05360643991e-08
95,depunned,0,3.04042449468e-08,1.12841372276e-08
96,depunned,0,5.17147024099e-08,2.37571136853e-08
97,depunned,0,8.50224650598e-08,3.6682639127e-08
98,depunned,0,4.87958255101e-08,1.93117249358e-08
99,depunned,0,3.25176411274e-08,1.27278689873e-08
100,depunned,0,3.05123078125e-08,1.13244227795e-08
101,depunned,0,3.85038903199e-08,1.68510588473e-08
102,depunned,0,2.72197514983e-08,9.44099591069e-09
103,depunned,0,3.71187937358e-08,1.57700221651e-08
104,depunned,0,7.18827761381e-08,3.42840427992e-08
105,depunned,0,3.24213639685e-08,1.27948196218e-08
106,nonpun,0,5.11934832803e-08,1.85702003376e-08
107,nonpun,0,8.78083006159e-08,2.93936152198e-08
108,nonpun,0,9.66029196407e-08,3.39091442957e-08
109,nonpun,0,6.43916471666e-08,2.17563912072e-08
110,nonpun,0,4.18047194354e-08,1.44076644725e-08
111,nonpun,0,6.88335519043e-08,2.53157371249e-08
112,nonpun,0,3.23005794264e-08,1.15659561569e-08
113,nonpun,0,6.36237630142e-08,2.1552536547e-08
114,nonpun,0,3.35123782554e-08,1.2254527638e-08
115,nonpun,0,3.51322629004e-08,1.27873727485e-08
116,nonpun,0,5.6918526266e-08,1.98261796061e-08
117,nonpun,0,3.24887046202e-08,1.16110662496e-08
118,nonpun,0,2.70934823068e-08,9.38997639613e-09
119,nonpun,0,3.06193879286e-08,1.08538719162e-08
120,nonpun,0,5.83259131876e-08,2.03260828191e-08
121,nonpun,0,4.86927991836e-08,1.70989106104e-08
122,nonpun,0,2.9368001432e-08,1.07502044207e-08
123,nonpun,0,5.68526782001e-08,2.00322792927e-08
124,nonpun,0,5.68894310318e-08,1.93577161705e-08
125,nonpun,0,5.56121183396e-08,2.01394134728e-08
126,nonpun,0,4.33220685808e-08,1.56048468192e-08
127,nonpun,0,3.58761202941e-08,1.30547115027e-08
128,nonpun,0,5.22839298468e-08,1.80184309709e-08
129,nonpun,0,2.99786356865e-08,1.05834703259e-08
130,nonpun,0,5.58744915347e-08,2.19510357253e-08
131,nonpun,0,5.07645410218e-08,1.78995280893e-08
132,nonpun,0,5.00555667355e-08,1.7015745157e-08
133,nonpun,0,3.39011857415e-08,1.2038678586e-08
134,nonpun,0,4.31236271868e-08,1.53739641001e-08
135,nonpun,0,4.20512949734e-08,1.5242369096e-08
136,nonpun,0,3.71320888005e-08,1.35120944155e-08
137,nonpun,0,6.37063156374e-08,2.12691726633e-08
138,nonpun,0,4.04878434786e-08,1.45794224868e-08
139,nonpun,0,6.35087808233e-08,2.24813015935e-08
140,nonpun,0,2.6347962677e-08,9.05161907884e-09
141,nonpun,0,7.54682425003e-08,2.54222259432e-08
142,nonpun,0,5.24803418498e-08,1.73413911921e-08
143,nonpun,0,3.70935805192e-08,1.57446730978e-08
144,nonpun,0,1.07043672172e-07,3.52501076844e-08
145,nonpun,0,7.69838792724e-08,2.54140776877e-08
146,nonpun,0,6.21157884528e-08,2.05176498587e-08
147,nonpun,0,7.27714493565e-08,2.27428216339e-08
148,nonpun,0,5.42441201753e-08,1.8667843186e-08
149,nonpun,0,3.58872840882e-08,1.24082442533e-08
150,nonpun,0,5.9609743451e-08,1.93774453359e-08
151,nonpun,0,2.93057095691e-08,1.02250524342e-08
152,nonpun,0,4.47765839259e-08,1.57448151038e-08
153,nonpun,0,4.22449241663e-08,1.44705796506e-08
154,nonpun,0,8.12227539615e-08,2.6576734233e-08
155,nonpun,0,4.79692775655e-08,1.69921934031e-08
156,nonpun,0,3.72978870901e-08,1.30422234355e-08
157,nonpun,0,3.17581508691e-08,1.12327849746e-08
158,nonpun,0,4.29801838678e-08,1.58322613117e-08
159,nonpun,0,5.53153337522e-08,1.94384509289e-08
160,nonpun,0,2.98964977212e-08,1.1075025662e-08
161,nonpun,0,2.69063883811e-08,9.31166914804e-09
162,nonpun,0,6.48560808516e-08,2.27636907212e-08
163,nonpun,0,4.20495044914e-08,1.49904247434e-08
164,nonpun,0,3.55436763698e-08,1.26735897643e-08
165,nonpun,0,5.05068693685e-08,1.72206747684e-08
166,nonpun,0,3.00476802769e-08,1.05759066283e-08
167,nonpun,0,4.55297751638e-08,1.56388196249e-08
168,nonpun,0,4.31787796829e-08,1.53367997846e-08
169,nonpun,0,5.39893515299e-08,1.81750624802e-08
170,nonpun,0,4.65844595963e-08,1.59511542967e-08
171,nonpun,0,9.28746968698e-08,3.1417114756e-08
172,nonpun,0,7.44210888345e-08,2.46119022266e-08
173,nonpun,0,2.76035328374e-08,9.61314129973e-09
174,nonpun,0,2.63508401462e-08,9.05316922685e-09
175,nonpun,0,6.76312671457e-08,2.30193670853e-08
176,nonpun,0,3.45649919853e-08,1.24680399894e-08
177,nonpun,0,4.66577784252e-08,1.67695424797e-08
178,nonpun,0,2.90085634322e-08,1.01511143228e-08
179,nonpun,0,4.3174010857e-08,1.52547045276e-08
180,nonpun,0,2.73119736227e-08,9.50071670217e-09
181,nonpun,0,3.296809152e-08,1.18073632313e-08
182,nonpun,0,6.80528324903e-08,2.27269024567e-08
183,nonpun,0,2.94555846859e-08,1.03746921527e-08
184,nonpun,0,5.88267904666e-08,2.03224850918e-08
185,nonpun,0,3.97423582303e-08,1.43303180055e-08
186,nonpun,0,3.22703195423e-08,1.14465011941e-08
187,nonpun,0,6.4768212307e-08,2.13441095855e-08
188,nonpun,0,4.55403115296e-08,1.55274919882e-08
189,nonpun,0,2.80523464899e-08,9.80771720103e-09
190,nonpun,0,2.69946167475e-08,9.33962439718e-09
191,nonpun,0,4.02025050304e-08,1.39367710638e-08
192,nonpun,0,2.72641436051e-08,9.53405773411e-09
193,nonpun,0,5.81320422057e-08,1.91095335958e-08
194,nonpun,0,3.1705160962e-08,1.12429634522e-08
195,nonpun,0,4.48569639512e-08,1.57364158942e-08
196,nonpun,0,3.00881271018e-08,1.05506114841e-08
197,nonpun,0,2.65557438964e-08,9.15145117936e-09
198,nonpun,0,2.81276165985e-08,9.80466857359e-09
199,nonpun,0,3.1264830235e-08,1.11549942719e-08
200,nonpun,0,2.63618055314e-08,9.05863237936e-09
201,nonpun,0,5.36191521864e-08,1.93060241069e-08
202,nonpun,0,2.80039000998e-08,9.78208927979e-09
203,nonpun,0,3.79326360354e-08,1.34499083573e-08
204,nonpun,0,3.38889662507e-08,1.22065095708e-08
205,nonpun,0,5.02229861597e-08,1.80990528187e-08
206,nonpun,0,2.64450578569e-08,9.09922946292e-09
207,nonpun,0,7.65851928771e-08,2.62581458252e-08
208,nonpun,0,6.74245906313e-08,2.30690674425e-08
209,nonpun,0,2.67574049662e-08,9.24044783129e-09
210,nonpun,0,3.34355690274e-08,1.19437497318e-08
211,nonpun,0,2.64504108863e-08,9.10012098757e-09
212,nonpun,0,2.99515167161e-08,1.05745258467e-08
213,nonpun,0,5.56569304348e-08,2.0050451406e-08
214,nonpun,0,2.72330703779e-08,9.44731738687e-09
215,nonpun,0,4.95266206806e-08,1.74439225986e-08
216,nonpun,0,3.38621118169e-08,1.19885040768e-08
217,nonpun,0,2.85614209282e-08,1.00272778211e-08
218,nonpun,0,3.61021406875e-08,1.2516858977e-08
219,nonpun,0,2.64786273793e-08,9.11338550596e-09
220,nonpun,0,3.35000871553e-08,1.20083376372e-08
221,nonpun,0,7.45002477375e-08,2.60280759766e-08
222,nonpun,0,3.8792459747e-08,1.39468227487e-08
223,nonpun,0,4.77889187036e-08,1.67934383074e-08
224,nonpun,0,2.69191086789e-08,9.32522101886e-09
225,nonpun,0,3.07717319065e-08,1.07831186777e-08
226,nonpun,0,4.61319082911e-08,2.01231434474e-08
227,nonpun,0,3.41778825356e-08,1.2198422476e-08
228,nonpun,0,3.10686194998e-08,1.08941217315e-08
