uniqueID,sentenceType,isOrig,KL,minKL
1,pun,0,2.85903130222e-34,6.25545605688e-35
2,pun,0,2.38426707829e-34,1.90530712584e-35
3,pun,0,3.88177331677e-34,7.42653932664e-35
4,pun,0,5.18292141457e-34,2.32896081046e-34
5,pun,0,3.1844634362e-34,2.20789418157e-35
6,pun,0,2.8533173137e-34,-2.00401389206e-35
7,pun,0,3.14936823909e-34,9.97496309533e-35
8,pun,0,2.56740244596e-34,3.07740416954e-35
9,pun,0,2.83780616405e-34,8.01475209943e-35
10,pun,0,2.45797114827e-34,1.03555850066e-35
11,pun,0,3.10807966008e-34,1.13220698557e-35
12,pun,0,3.34819192797e-34,8.13986786562e-35
13,pun,0,2.9913457927e-34,6.00780059878e-35
14,pun,0,3.25945423342e-34,9.09770352949e-35
15,pun,0,3.12118301719e-34,4.7716372459e-35
16,pun,0,2.55248713593e-34,3.77634241e-35
17,pun,0,3.36794600503e-34,1.66715688264e-34
18,pun,0,3.03358056481e-34,6.42835195115e-35
19,pun,0,3.10224424641e-34,1.43266503551e-35
20,pun,0,2.6700122414e-34,1.72214262869e-35
21,pun,0,2.72278608796e-34,-1.3647192122e-35
22,pun,0,2.79767409424e-34,-1.61491410933e-35
23,pun,0,3.70840232938e-34,7.08495357516e-36
24,pun,0,2.88007659241e-34,3.46679557523e-36
25,pun,0,3.38107986788e-34,-5.3867179957e-36
26,pun,0,3.51068342761e-34,9.31234124546e-35
27,pun,0,3.64510895518e-34,-5.68181767034e-36
28,pun,0,2.77596206424e-34,2.35719064254e-35
29,pun,0,2.74583929108e-34,-4.76644541005e-36
30,pun,0,3.09086135392e-34,1.77393213261e-35
31,pun,0,4.01795546451e-34,1.50477957044e-34
32,pun,0,4.45008627832e-34,8.46824265536e-35
33,pun,0,4.14197580229e-34,8.22326188639e-35
34,pun,0,3.332202797e-34,8.82715852763e-35
35,pun,0,2.82029205448e-34,1.02110262997e-35
36,pun,0,2.32941395426e-34,-1.09455209913e-36
37,pun,0,3.24187754873e-34,-1.80591101303e-35
38,pun,0,3.79275723855e-34,1.52890252679e-34
39,pun,0,5.13308667734e-34,1.02140917351e-34
40,pun,0,3.70552731931e-34,6.97200229793e-35
41,pun,0,4.73880543151e-34,-1.60367636702e-35
42,pun,0,3.6640035578e-34,7.16724517084e-35
43,pun,0,4.20484362762e-34,4.49109319798e-35
44,pun,0,3.58066629713e-34,-1.50502955678e-35
45,pun,0,3.24088235214e-34,2.23343117792e-35
46,pun,0,4.35847090947e-34,7.89445870862e-35
47,pun,0,3.05178220241e-34,6.459326181e-36
48,pun,0,2.44508593413e-34,2.47569808957e-35
49,pun,0,3.263762919e-34,1.45059161325e-35
50,pun,0,2.42286888543e-34,1.19880669797e-35
51,pun,0,4.64901922916e-34,1.41567299248e-34
52,pun,0,2.86515676169e-34,2.75299248315e-35
53,pun,0,2.86499195244e-34,2.44818452187e-35
54,pun,0,3.13902488787e-34,-2.20783035178e-35
55,pun,0,2.46548563582e-34,2.67864135134e-35
56,pun,0,3.09998705414e-34,1.89478230974e-35
57,pun,0,3.39561879634e-34,2.76327641564e-35
58,pun,0,2.7382560729e-34,1.44542088974e-35
59,pun,0,3.23267470494e-34,-2.48645496245e-35
60,pun,0,3.52431616622e-34,6.24305046193e-35
61,pun,0,3.11127030772e-34,2.61370652415e-35
62,pun,0,3.17672203947e-34,3.08349906992e-35
63,pun,0,3.10079899146e-34,-8.73224438841e-36
64,pun,0,3.19663563372e-34,5.70898182039e-35
65,pun,0,4.04221079407e-34,1.54111428217e-34
66,depunned,0,2.83596584646e-34,6.90835602722e-35
67,depunned,0,2.70415025464e-34,6.38015459469e-35
68,depunned,0,3.38897099877e-34,1.07209463386e-34
69,depunned,0,4.31056589016e-34,1.86565121941e-34
70,depunned,0,2.79760088491e-34,5.3356448158e-35
71,depunned,0,2.81368875475e-34,-3.66594603669e-35
72,depunned,0,3.10720562048e-34,9.52126974976e-35
73,depunned,0,2.4427213075e-34,-1.22348235981e-35
74,depunned,0,2.81157301593e-34,8.65392629352e-35
75,depunned,0,2.4855484905e-34,2.68701646652e-35
76,depunned,0,2.72753518164e-34,3.74394562741e-35
77,depunned,0,2.92953156545e-34,1.02982946934e-34
