uniqueID,sentenceType,isOrig,KL,minKL
1,pun,0,2.34683580508e-35,5.13479101821e-36
2,pun,0,1.9571255984e-35,1.56397132803e-36
3,pun,0,3.18635357365e-35,6.09607470407e-36
4,pun,0,4.25440097183e-35,1.91172744922e-35
5,pun,0,2.61396676779e-35,1.81234990856e-36
6,pun,0,2.34214547768e-35,-1.64499477572e-36
7,pun,0,2.58515887572e-35,8.18794831954e-36
8,pun,0,2.10745226243e-35,2.52608717022e-36
9,pun,0,2.32941315071e-35,6.57890915053e-36
10,pun,0,2.01762558323e-35,8.50038181015e-37
11,pun,0,2.55126714621e-35,9.29372088524e-37
12,pun,0,2.748363298e-35,6.68161042548e-36
13,pun,0,2.45544615278e-35,4.93150303883e-36
14,pun,0,2.67552296265e-35,7.46784981699e-36
15,pun,0,2.56202303671e-35,3.91679836763e-36
16,pun,0,2.0952090304e-35,3.09981061528e-36
17,pun,0,2.76457843188e-35,1.36848570418e-35
18,pun,0,2.49011456488e-35,5.27671261064e-36
19,pun,0,2.54647714697e-35,1.17600307468e-36
