uniqueID,sentenceType,isOrig,KL,minKL
1,pun,0,1.17145473663e-35,5.08492700507e-36
2,pun,0,7.81744529956e-36,1.51410731488e-36
3,pun,0,2.0109725052e-35,6.04621069093e-36
4,pun,0,3.07901990338e-35,1.17227885548e-35
5,pun,0,1.43858569934e-35,1.76248589542e-36
6,pun,0,1.16676440924e-35,-1.69485878886e-36
7,pun,0,1.40977780727e-35,5.9596937663e-36
8,pun,0,9.32071193986e-36,2.47622315707e-36
9,pun,0,1.15403208226e-35,5.01127568523e-36
10,pun,0,8.42244514787e-36,8.00174167871e-37
11,pun,0,1.37588607776e-35,8.79508075379e-37
12,pun,0,1.57298222955e-35,6.63174641233e-36
13,pun,0,1.28006508433e-35,4.88163902569e-36
14,pun,0,1.5001418942e-35,7.41798580384e-36
15,pun,0,1.38664196826e-35,3.86693435449e-36
16,pun,0,9.19827961957e-36,3.04994660214e-36
17,pun,0,1.58919736343e-35,1.98091037044e-36
18,pun,0,1.31473349644e-35,5.22684859749e-36
19,pun,0,1.37109607853e-35,1.12613906154e-36
20,pun,0,1.01629844317e-35,1.36375673992e-36
21,pun,0,1.05961785439e-35,-1.1700937597e-36
22,pun,0,1.12108967332e-35,-1.37546623756e-36
23,pun,0,1.86866093259e-35,5.31704391323e-37
24,pun,0,1.1887297628e-35,2.34707896877e-37
25,pun,0,1.59997829457e-35,-4.92032752408e-37
26,pun,0,1.70636337479e-35,7.59417117005e-36
27,pun,0,1.81670656726e-35,-5.16256008796e-37
28,pun,0,1.10326735379e-35,1.88503589334e-36
29,pun,0,1.07854107585e-35,-4.4111767807e-37
30,pun,0,1.36175243138e-35,1.4062681535e-36
31,pun,0,2.12275761931e-35,8.9254573093e-36
32,pun,0,2.47747219188e-35,6.90129285398e-36
33,pun,0,2.22455971186e-35,6.70020039314e-36
34,pun,0,1.55985755161e-35,7.19590894279e-36
35,pun,0,1.13965562567e-35,7.88308066613e-37
36,pun,0,7.36718343851e-36,-1.39710320695e-37
37,pun,0,1.48571407281e-35,-1.53224604334e-36
38,pun,0,1.93790365863e-35,6.8789044187e-36
39,pun,0,3.03811306001e-35,8.33437304702e-36
40,pun,0,1.86630098062e-35,5.67310397717e-36
41,pun,0,2.7144673048e-35,-1.36624173695e-36
42,pun,0,1.83221620156e-35,5.83336908671e-36
