uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w,entropy
1,pun,0,0.755155553212,0.244844446788,0.556599982454
2,pun,0,0.991309855796,0.00869014420433,0.0498919257055
3,pun,0,0.585233289373,0.414766710627,0.678546554346
4,pun,0,0.00112779961808,0.998872200382,0.00878208841696
5,pun,0,0.921212816527,0.078787183473,0.275797213768
6,pun,0,0.999689615114,0.000310384886326,0.00281753192041
7,pun,0,0.0464375768214,0.953562423179,0.187889199818
8,pun,0,0.997913533492,0.00208646650849,0.0149625507282
9,pun,0,0.20164360025,0.79835639975,0.502672512621
10,pun,0,0.9976577199,0.00234228009982,0.0165258597279
11,pun,0,0.999999359528,6.40472445283e-07,9.77428804228e-06
12,pun,0,0.795828633893,0.204171366107,0.506131069291
13,pun,0,0.676760591613,0.323239408387,0.629287162524
14,pun,0,0.345911595523,0.654088404477,0.644878953337
15,pun,0,0.979714278328,0.0202857216715,0.0991490177534
16,pun,0,0.910153264028,0.0898467359717,0.302183082609
17,pun,0,0.00183050388866,0.998169496111,0.013366793708
18,pun,0,0.952952277093,0.0470477229074,0.189728933633
19,pun,0,0.998696088573,0.00130391142724,0.00996414494162
20,pun,0,0.998148898581,0.0018511014191,0.013496469916
21,pun,0,0.998591651095,0.00140834890523,0.0106536422444
22,pun,0,0.999904597859,9.54021407864e-05,0.000978574278077
23,pun,0,0.999801214678,0.000198785322428,0.00189306953953
24,pun,0,0.995066587664,0.0049334123364,0.0311261495449
25,pun,0,0.998516282973,0.00148371702726,0.0111463686899
26,pun,0,0.912954639897,0.0870453601032,0.295648034516
27,pun,0,0.999989619732,1.03802675676e-05,0.000129500052709
28,pun,0,0.967326939089,0.0326730609113,0.143914604984
29,pun,0,0.994392864486,0.00560713551437,0.0346571801837
30,pun,0,0.997755478158,0.00224452184229,0.0159319295218
31,pun,0,0.998981246453,0.00101875354675,0.00803660632613
32,pun,0,0.993098111245,0.00690188875496,0.0412215392923
33,pun,0,0.502646514805,0.497353485195,0.693133172413
34,pun,0,0.734286119436,0.265713880564,0.578949009282
35,pun,0,0.985811907136,0.0141880928639,0.0744622945908
36,pun,0,0.986310057633,0.0136899423666,0.0723406320292
37,pun,0,0.999422336254,0.000577663746169,0.00488485734147
38,pun,0,0.912338171253,0.0876618287473,0.297094508151
39,pun,0,0.942563366604,0.0574366333962,0.219855282853
40,pun,0,0.998809638573,0.00119036142688,0.00920494930722
41,pun,0,0.995337811891,0.00466218810905,0.0296791895583
42,pun,0,0.973316430954,0.0266835690462,0.123017796972
43,pun,0,0.998870107528,0.001129892472,0.00879628933079
44,pun,0,0.996562593339,0.00343740666123,0.0229320305036
45,pun,0,0.998531307265,0.00146869273491,0.0110484582647
46,pun,0,0.978857463432,0.0211425365678,0.102452963542
47,pun,0,0.999960897179,3.91028206641e-05,0.000435968937744
48,pun,0,0.981927750559,0.0180722494409,0.0904387164488
49,pun,0,0.84647687036,0.15352312964,0.428771946024
50,pun,0,0.974763455939,0.0252365440605,0.11777229864
51,pun,0,0.276262970472,0.723737029528,0.589389105187
52,pun,0,0.987777094934,0.0122229050659,0.0659829954118
53,pun,0,0.997866937991,0.00213306200875,0.0152495364865
54,pun,0,0.987849653271,0.0121503467289,0.0656640901905
55,pun,0,0.937190138298,0.0628098617017,0.234629961689
56,pun,0,0.970102635437,0.0298973645633,0.134385216075
57,pun,0,0.998835071461,0.00116492853866,0.00903345331474
58,pun,0,0.892423100026,0.107576899974,0.341419080159
59,pun,0,0.989376929647,0.0106230703525,0.0588454013917
60,pun,0,0.727403497321,0.272596502679,0.585824312102
61,pun,0,0.993444944873,0.00655505512741,0.0394891862276
62,pun,0,0.918799721147,0.0812002788534,0.281691126468
63,pun,0,0.999277190425,0.000722809575424,0.00595017078107
64,pun,0,0.99593786509,0.00406213490976,0.0264201773693
65,pun,0,0.962278809204,0.0377211907965,0.160633085691
66,depunned,0,0.679675528527,0.320324471473,0.627113793147
67,depunned,0,0.973074214079,0.0269257859209,0.123887842844
68,depunned,0,0.0230956521951,0.976904347805,0.10985384902
69,depunned,0,7.81288864089e-05,0.999921871114,0.000817002487459
70,depunned,0,0.57144924777,0.42855075223,0.682902155615
71,depunned,0,0.999939336085,6.06639154389e-05,0.000649718492117
72,depunned,0,0.0781624397854,0.921837560215,0.274258310737
73,depunned,0,0.999714532075,0.000285467925253,0.00261523964272
74,depunned,0,0.106339541423,0.893660458577,0.338793157144
75,depunned,0,0.989529169488,0.010470830512,0.0581540309143
76,depunned,0,0.999991430151,8.56984909881e-06,0.00010855647369
77,depunned,0,0.324062091958,0.675937908042,0.629893517162
78,depunned,0,0.186239719573,0.813760280427,0.480724347348
79,depunned,0,0.0811046236754,0.918895376325,0.281458991364
80,depunned,0,0.689114078362,0.310885921638,0.619807673751
81,depunned,0,0.917188735243,0.0828112647574,0.285582329888
82,depunned,0,0.00183050388866,0.998169496111,0.013366793708
83,depunned,0,0.805163482942,0.194836517058,0.493160453493
84,depunned,0,0.992157617917,0.00784238208253,0.0458330859469
85,depunned,0,0.977661120038,0.0223388799623,0.107007101211
86,depunned,0,0.990482028176,0.00951797182395,0.0537746309269
87,depunned,0,0.999796858525,0.000203141475082,0.00193015000985
88,depunned,0,0.999228549353,0.000771450646845,0.00630032328435
89,depunned,0,0.883083951887,0.116916048113,0.360735062898
90,depunned,0,0.91030572864,0.0896942713603,0.30182990742
91,depunned,0,0.596048506563,0.403951493437,0.674581365226
92,depunned,0,0.999952149507,4.78504932604e-05,0.000523838739029
93,depunned,0,0.927337944226,0.0726620557744,0.260471056198
94,depunned,0,0.980819249961,0.0191807500388,0.0948333841326
95,depunned,0,0.998659346487,0.00134065351284,0.0102076385974
96,depunned,0,0.992097108054,0.0079028919457,0.0461257395325
97,depunned,0,0.718894236402,0.281105763598,0.593994638625
98,depunned,0,0.196852487511,0.803147512489,0.496007963011
99,depunned,0,0.200097943001,0.799902056999,0.500538171395
100,depunned,0,0.975185786612,0.0248142133883,0.116225498683
101,depunned,0,0.916077457769,0.0839225422315,0.288246576772
102,depunned,0,0.993059150635,0.00694084936507,0.0414150253797
103,depunned,0,0.994118112046,0.00588188795426,0.0360732115666
104,depunned,0,0.705138932979,0.294861067021,0.606447009939
105,depunned,0,0.983907203765,0.0160927962352,0.0824159349142
106,nonpun,0,0.999898101107,0.000101898892935,0.00103850037966
107,nonpun,0,0.99999080048,9.19952047618e-06,0.000115880422046
108,nonpun,0,0.99818503122,0.00181496877963,0.0132688356013
109,nonpun,0,0.943437862356,0.0565621376445,0.2174014161
110,nonpun,0,0.998121424778,0.0018785752216,0.0136690802175
111,nonpun,0,0.999997819407,2.18059290291e-06,3.06066115191e-05
112,nonpun,0,0.992966346548,0.00703365345229,0.04187502402
113,nonpun,0,0.999990281086,9.71891411462e-06,0.000121889098566
114,nonpun,0,0.938182242835,0.0618177571645,0.23194012541
115,nonpun,0,0.999079232558,0.00092076744208,0.00735678687301
116,nonpun,0,0.999999963684,3.63157223443e-08,6.58440908309e-07
117,nonpun,0,0.992801535417,0.00719846458344,0.0426889078733
118,nonpun,0,0.948511070328,0.0514889296722,0.202876186225
119,nonpun,0,0.986293424093,0.0137065759073,0.0724117685869
120,nonpun,0,0.999648197136,0.000351802864405,0.00314943199902
121,nonpun,0,0.998864647085,0.00113535291482,0.00883332252948
122,nonpun,0,0.0549460661674,0.945053933833,0.212828789497
123,nonpun,0,0.999911471365,8.85286350069e-05,0.00091469027155
124,nonpun,0,0.999857810349,0.000142189651261,0.00140174507118
125,nonpun,0,0.999962324862,3.76751376667e-05,0.000421452600548
126,nonpun,0,0.999952535312,4.74646877971e-05,0.000519999425393
127,nonpun,0,0.999951054605,4.89453952177e-05,0.000534717713504
128,nonpun,0,0.999910156349,8.9843650868e-05,0.000926952406193
129,nonpun,0,0.997249071603,0.00275092839735,0.0189661110495
130,nonpun,0,0.951098249474,0.0489017505263,0.195268729402
131,nonpun,0,0.999574241307,0.000425758692825,0.00373025281756
132,nonpun,0,0.999981686794,1.831320614e-05,0.000218071441988
133,nonpun,0,0.993740500057,0.00625949994346,0.0379984113191
134,nonpun,0,0.999002118973,0.0009978810271,0.00789261763717
135,nonpun,0,0.99905887696,0.000941123040446,0.00749883635301
136,nonpun,0,0.999997808692,2.19130754141e-06,3.07462603183e-05
137,nonpun,0,0.999776108387,0.000223891612728,0.0021055296856
138,nonpun,0,0.942018375838,0.0579816241624,0.221377388838
139,nonpun,0,0.998340663259,0.00165933674074,0.0122799334682
140,nonpun,0,0.985531759139,0.0144682408607,0.0756476321666
141,nonpun,0,0.999982507114,1.74928857742e-05,0.000209104840582
142,nonpun,0,0.999050679822,0.00094932017764,0.00755591423752
143,nonpun,0,0.988956757891,0.0110432421091,0.0607421887377
144,nonpun,0,0.999931045662,6.8954337692e-05,0.000729676978142
145,nonpun,0,0.999995283582,4.71641774963e-06,6.25607281674e-05
146,nonpun,0,0.918611635493,0.081388364507,0.282147213462
147,nonpun,0,0.996516393509,0.00348360649075,0.0231936546502
148,nonpun,0,0.99998692867,1.30713301478e-05,0.000160059519034
149,nonpun,0,0.957205149684,0.0427948503159,0.176726818161
150,nonpun,0,0.999314046637,0.000685953363186,0.00568268313667
151,nonpun,0,0.986974361195,0.013025638805,0.0694825916796
152,nonpun,0,0.999995694521,4.30547935551e-06,5.75023458672e-05
153,nonpun,0,0.998655853332,0.00134414666777,0.0102307351741
154,nonpun,0,0.986141234012,0.0138587659878,0.073061691722
155,nonpun,0,0.998352275475,0.00164772452504,0.0122055782487
156,nonpun,0,0.673060948691,0.326939051309,0.631989695947
157,nonpun,0,0.987483674582,0.0125163254179,0.0672682026337
158,nonpun,0,0.998382288841,0.00161771115896,0.0120130158146
159,nonpun,0,0.979013668733,0.0209863312667,0.101853309809
160,nonpun,0,0.939818359113,0.0601816408874,0.227467021598
161,nonpun,0,0.70105037514,0.29894962486,0.609971692814
162,nonpun,0,0.99997064115,2.93588501228e-05,0.000335744928144
163,nonpun,0,0.979979396125,0.0200206038746,0.0981192890313
164,nonpun,0,0.97265626785,0.0273437321499,0.125383856262
165,nonpun,0,0.99438151769,0.00561848230978,0.0347159234007
166,nonpun,0,0.988192577802,0.0118074221983,0.0641509038955
167,nonpun,0,0.955444458616,0.044555541384,0.1821609884
168,nonpun,0,0.998663310217,0.00133668978272,0.0101814195602
169,nonpun,0,0.999928946673,7.10533268968e-05,0.000749757856793
170,nonpun,0,0.999646156779,0.00035384322069,0.00316565118376
171,nonpun,0,0.999999793979,2.06020660997e-07,3.37776833347e-06
172,nonpun,0,0.999956927214,4.30727864626e-05,0.000476066177494
173,nonpun,0,0.999999182372,8.17628362836e-07,1.22782086281e-05
174,nonpun,0,0.999998042052,1.9579484049e-06,2.76924633109e-05
175,nonpun,0,0.999999123074,8.76925596726e-07,1.31072694345e-05
176,nonpun,0,0.998235101233,0.00176489876656,0.0129522019651
177,nonpun,0,0.99999808007,1.91992979928e-06,2.71923900046e-05
178,nonpun,0,0.98834418968,0.0116558103198,0.063478706279
179,nonpun,0,0.999999695726,3.04274403571e-07,4.87001398842e-06
180,nonpun,0,0.996104416945,0.00389558305474,0.0255003370548
181,nonpun,0,0.814676622594,0.185323377406,0.479370306881
182,nonpun,0,0.999998557506,1.44249395814e-06,2.08427918215e-05
183,nonpun,0,0.99997550962,2.44903795071e-05,0.0002845100763
184,nonpun,0,0.999999439001,5.60998792283e-07,8.63576116575e-06
185,nonpun,0,0.999986209777,1.37902234499e-05,0.000168124112752
186,nonpun,0,0.999937239105,6.27608947463e-05,0.00067004453769
187,nonpun,0,0.999999823325,1.76675207941e-07,2.9237896568e-06
188,nonpun,0,0.999834678633,0.000165321367304,0.00160486322923
189,nonpun,0,0.999130445934,0.000869554065666,0.00699738429823
190,nonpun,0,0.99806567483,0.00193432516969,0.0140181105539
191,nonpun,0,0.9998266354,0.000173364599559,0.00167470670945
192,nonpun,0,0.987656163417,0.0123438365831,0.0665135405405
193,nonpun,0,0.999755227326,0.000244772673992,0.00228007171455
194,nonpun,0,0.999935961159,6.40388409524e-05,0.000682397168669
195,nonpun,0,0.999993804833,6.19516746383e-06,8.04859920208e-05
196,nonpun,0,0.999833597593,0.000166402406981,0.00161427280508
197,nonpun,0,0.964957989348,0.0350420106521,0.151853793013
198,nonpun,0,0.999879139688,0.000120860312419,0.00121111879406
199,nonpun,0,0.999919744067,8.02559332334e-05,0.000837089426362
200,nonpun,0,0.998722650813,0.0012773491872,0.00978747016626
201,nonpun,0,0.999591075706,0.000408924293791,0.00359926004709
202,nonpun,0,0.99978125657,0.000218743430303,0.00206220405807
203,nonpun,0,0.999999698505,3.014945409e-07,4.82828847893e-06
204,nonpun,0,0.999998221133,1.778866985e-06,2.53302351929e-05
205,nonpun,0,0.999995197391,4.80260853966e-06,6.36170285414e-05
206,nonpun,0,0.998561953817,0.00143804618263,0.0108482616615
207,nonpun,0,0.999998756359,1.24364066274e-06,1.81540033352e-05
