uniqueID,sentenceType,isOrig,KL
1,pun,0,9.64781207296e-35
2,pun,0,5.57250546726e-35
3,pun,0,1.84268798244e-34
4,pun,0,2.95957446434e-34
5,pun,0,1.24412738767e-34
6,pun,0,9.59876403189e-35
7,pun,0,1.21400218417e-34
8,pun,0,7.1445126573e-35
9,pun,0,9.46561859369e-35
10,pun,0,6.20517041573e-35
11,pun,0,1.1785606723e-34
12,pun,0,1.38466952847e-34
13,pun,0,1.07835802921e-34
14,pun,0,1.30849839034e-34
15,pun,0,1.18980840224e-34
16,pun,0,7.01648181924e-35
17,pun,0,1.40162613907e-34
18,pun,0,1.11461173938e-34
19,pun,0,1.17355163862e-34
20,pun,0,8.02530012214e-35
21,pun,0,8.47830309637e-35
22,pun,0,9.12113078074e-35
23,pun,0,1.69386886454e-34
24,pun,0,9.82846176353e-35
25,pun,0,1.4129000547e-34
26,pun,0,1.52414985333e-34
27,pun,0,1.63953875857e-34
28,pun,0,8.93475789326e-35
29,pun,0,8.67618841758e-35
30,pun,0,1.16378073032e-34
31,pun,0,1.95958474473e-34
32,pun,0,2.33051951009e-34
33,pun,0,2.06604198735e-34
34,pun,0,1.37094469248e-34
35,pun,0,9.31528004077e-35
36,pun,0,5.10165427959e-35
37,pun,0,1.29341082148e-34
38,pun,0,1.76627788385e-34
39,pun,0,2.91679705535e-34
40,pun,0,1.69140099798e-34
41,pun,0,2.57835180513e-34
42,pun,0,1.6557576089e-34
43,pun,0,2.12000680841e-34
44,pun,0,1.58422212417e-34
45,pun,0,1.29255655929e-34
46,pun,0,2.25187821846e-34
47,pun,0,1.13023575868e-34
48,pun,0,6.09456562355e-35
49,pun,0,1.31219690298e-34
50,pun,0,5.90385772951e-35
51,pun,0,2.50128064326e-34
52,pun,0,9.70039212047e-35
53,pun,0,9.69897742203e-35
54,pun,0,1.20512360288e-34
55,pun,0,6.26967367694e-35
56,pun,0,1.17161409781e-34
57,pun,0,1.42538005808e-34
58,pun,0,8.61109518265e-35
59,pun,0,1.28551123508e-34
60,pun,0,1.5358519966e-34
61,pun,0,1.18129947753e-34
62,pun,0,1.23748228603e-34
63,pun,0,1.17231105292e-34
64,pun,0,1.25457582386e-34
65,pun,0,1.98040516459e-34
66,depunned,0,9.44982157693e-35
67,depunned,0,8.3183358309e-35
68,depunned,0,1.41967368595e-34
69,depunned,0,2.21075725109e-34
70,depunned,0,9.12050236251e-35
71,depunned,0,9.25859828241e-35
72,depunned,0,1.1778104095e-34
73,depunned,0,6.07426801471e-35
74,depunned,0,9.2404370901e-35
75,depunned,0,6.44189028484e-35
76,depunned,0,8.5190686214e-35
77,depunned,0,1.02529760133e-34
78,depunned,0,1.00189909524e-34
79,depunned,0,1.34584222393e-34
