pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,
1,1,pun,1,a,lion,circus,1,m1
2,1,pun,1,a,lion,truck,2,m1
3,1,pun,1,a,lion,driver,3,m1
4,1,pun,1,a,lion,refused,4,m1
5,1,pun,1,a,lion,tow,5,m1
6,2,pun,2,a,tooth,dentist,6,m1
7,2,pun,2,a,tooth,tell,7,m1
8,2,pun,2,a,tooth,patient,8,m1
9,2,pun,2,a,tooth,whole,9,m1
10,3,pun,3,a,cilia,handlebar,10,m1
11,3,pun,3,a,cilia,mustache,11,m1
12,3,pun,3,a,cilia,look,12,m1
13,3,pun,3,a,cilia,ridiculous,1,m1
14,3,pun,3,a,cilia,symmetrical,2,m1
15,3,pun,3,a,cilia,eyelashes,3,m1
16,3,pun,3,a,cilia,even,4,m1
17,4,pun,4,a,heir,man,5,m1
18,4,pun,4,a,heir,used,6,m1
19,4,pun,4,a,heir,money,7,m1
20,4,pun,4,a,heir,inherited,8,m1
21,4,pun,4,a,heir,late,9,m1
22,4,pun,4,a,heir,father,10,m1
23,4,pun,4,a,heir,put,11,m1
24,4,pun,4,a,heir,addition,12,m1
25,4,pun,4,a,heir,house,1,m1
26,4,pun,4,a,heir,extension,2,m1
27,5,pun,5,a,clothing,men's,3,m1
28,5,pun,5,a,clothing,wear,4,m1
29,5,pun,5,a,clothing,store,5,m1
30,5,pun,5,a,clothing,opening,6,m1
31,5,pun,5,a,clothing,times,7,m1
32,6,pun,6,a,ambiance,paramedic,8,m1
33,6,pun,6,a,ambiance,got,9,m1
34,6,pun,6,a,ambiance,new,10,m1
35,6,pun,6,a,ambiance,job,11,m1
36,6,pun,6,a,ambiance,chauffeur,12,m1
37,6,pun,6,a,ambiance,driver,1,m1
38,7,pun,7,a,perches,pet,2,m1
39,7,pun,7,a,perches,store,3,m1
40,7,pun,7,a,perches,bird,4,m1
41,7,pun,7,a,perches,contest,5,m1
42,7,pun,7,a,perches,necessary,6,m1
43,8,pun,8,a,reword,pun,7,m1
44,9,pun,9,a,math,rubber,8,m1
45,9,pun,9,a,math,band,9,m1
46,9,pun,9,a,math,pistol,10,m1
47,9,pun,9,a,math,confiscated,11,m1
48,9,pun,9,a,math,algebra,12,m1
49,9,pun,9,a,math,class,1,m1
50,9,pun,9,a,math,weapon,2,m1
51,9,pun,9,a,math,disruption,3,m1
52,10,pun,10,a,stealer,thief,4,m1
53,10,pun,10,a,stealer,stole,5,m1
54,10,pun,10,a,stealer,cutlery,6,m1
55,10,pun,10,a,stealer,leaving,7,m1
56,10,pun,10,a,stealer,clue,8,m1
57,10,pun,10,a,stealer,called,9,m1
58,10,pun,10,a,stealer,stainless,10,m1
59,11,pun,11,a,wicker,getting,11,m1
60,11,pun,11,a,wicker,pranked,12,m1
61,11,pun,11,a,wicker,friends,1,m1
62,11,pun,11,a,wicker,getting,2,m1
63,11,pun,11,a,wicker,hit,3,m1
64,11,pun,11,a,wicker,basket,4,m1
65,11,pun,11,a,wicker,aron,5,m1
66,11,pun,11,a,wicker,knew,6,m1
67,11,pun,11,a,wicker,sense,7,m1
68,11,pun,11,a,wicker,humor,8,m1
69,12,pun,12,a,spatial,aliens,9,m1
70,12,pun,12,a,spatial,lovable,10,m1
71,13,pun,13,a,whirled,astronaut,11,m1
72,13,pun,13,a,whirled,gets,12,m1
73,13,pun,13,a,whirled,take,1,m1
74,13,pun,13,a,whirled,turn,2,m1
75,13,pun,13,a,whirled,traveler,3,m1
76,14,pun,14,a,caesars,young,4,m1
77,14,pun,14,a,caesars,boy,5,m1
78,14,pun,14,a,caesars,brutus',6,m1
79,14,pun,14,a,caesars,mother,7,m1
80,14,pun,14,a,caesars,cautioned,8,m1
81,14,pun,14,a,caesars,not,9,m1
82,14,pun,14,a,caesars,run,10,m1
83,15,pun,15,a,launch,astronauts,11,m1
84,15,pun,15,a,launch,like,12,m1
85,16,pun,16,a,bloom,flower,1,m1
86,16,pun,16,a,bloom,show,2,m1
87,16,pun,16,a,bloom,prize,3,m1
88,16,pun,16,a,bloom,ribbon,4,m1
89,17,pun,17,a,flea,pet,5,m1
90,17,pun,17,a,flea,store,6,m1
91,17,pun,17,a,flea,buy,7,m1
92,17,pun,17,a,flea,dog,8,m1
93,17,pun,17,a,flea,get,9,m1
94,18,pun,18,a,fillings,kind,10,m1
95,18,pun,18,a,fillings,dentist,11,m1
96,19,pun,19,a,salivation,bell,12,m1
97,19,pun,19,a,salivation,bark,1,m1
98,19,pun,19,a,salivation,kennel,2,m1
99,19,pun,19,a,salivation,novel,3,m1
100,19,pun,19,a,salivation,ivan,4,m1
101,19,pun,19,a,salivation,pavlov,5,m1
102,19,pun,19,a,salivation,chronicles,6,m1
