pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,correctPairID,dummy
2,1,pun,1,a,lion,truck,13,2,1
50,9,pun,9,a,math,weapon,13,50,1
98,19,pun,19,a,salivation,kennel,13,98,1
146,26,pun,26,a,hobbit,rings,13,990,1
194,35,pun,35,a,leafing,plans,13,194,1
242,42,pun,42,a,aiken,clay,13,1053,1
290,52,pun,52,a,odor,out,13,290,1
338,61,pun,61,a,dublin,rich,13,338,1
386,68,pun,68,a,mimes,called,13,386,1
434,78,pun,78,a,paste,glue,13,434,1
482,86,pun,6,b,ambulance,paramedic,13,482,1
530,94,pun,14,b,scissors,cautioned,13,530,1
578,102,pun,22,b,spur,moment,13,578,1
626,111,pun,31,b,late,shop,13,626,1
674,119,pun,39,b,raving,edgar,13,674,1
722,128,pun,48,b,fire,ireland,13,1656,1
770,138,pun,58,b,traumatic,stress,13,779,1
818,146,pun,66,b,pants,girls,13,818,1
866,154,pun,74,b,cream,paper,13,1748,1
914,164,nonpun,4,a,heir,prince,13,914,1
962,178,nonpun,18,a,fillings,dentist,13,962,1
1010,191,nonpun,31,a,latte,up,13,1010,1
1058,202,nonpun,42,a,aiken,idol,13,1058,1
1106,215,nonpun,55,a,crank,morning,13,1106,1
1154,229,nonpun,69,a,glittering,sun,13,1154,1
1202,243,nonpun,3,b,sillier,drinks,13,1202,1
1250,257,nonpun,17,b,free,twenty,13,1250,1
1298,270,nonpun,30,b,temper,easily,13,1298,1
1346,283,nonpun,43,b,irritation,showed,13,1346,1
1394,297,nonpun,57,b,decay,tooth,13,1394,1
1442,310,nonpun,70,b,attitude,work,13,1442,1
1443,161,nonpun,1,a,line,takes,13,1480,1
1444,163,nonpun,3,a,sillier,hairlike,13,1488,1
1445,165,nonpun,5,a,closing,food,13,1496,1
1446,167,nonpun,7,a,purchase,sunny,13,1504,1
1447,169,nonpun,9,a,mass,exam,13,1512,1
1448,172,nonpun,12,a,special,build,13,1520,1
1449,174,nonpun,14,a,scissors,like,13,1528,1
1450,176,nonpun,16,a,blue,tree,13,1536,1
1451,179,nonpun,19,a,salvation,carpet,13,1544,1
1452,183,nonpun,23,a,crime,covered,13,1552,1
1453,184,nonpun,24,a,pock,cooperation,13,1560,1
1454,186,nonpun,26,a,habit,rings,13,1568,1
1455,188,nonpun,28,a,holmes,measure,13,1576,1
1456,190,nonpun,30,a,temper,coffee,13,1584,1
1457,192,nonpun,32,a,liable,movie,13,1592,1
1458,194,nonpun,34,a,profane,burns,13,1600,1
1459,196,nonpun,36,a,lambs,eat,13,1608,1
