pairID,uniqueID,sentenceID,homophoneVersion,homophoneID,sentenceType,wordPairVersion,m1,word,m1_relatedness,m2_relatedness,unigram,m1_trigram,m2_trigram
1,1,1,a,1,pun,m1,lion,circus,1.377983027,-0.630542589,5.69E-06,2.82E-05,2.82E-05
2,1,1,a,1,pun,m1,lion,truck,-0.657045944,-0.412135754,8.84E-06,6.36E-06,6.36E-06
3,1,1,a,1,pun,m1,lion,driver,-1.042229239,0.006942127,4.16E-05,0.0283825,0.0283825
4,1,1,a,1,pun,m1,lion,refused,-0.803420041,-0.599020207,5.00E-05,0.000654927,0.000654927
5,1,1,a,1,pun,m1,lion,tow,-0.878076745,-0.226590203,3.32E-06,7.02E-06,7.02E-06
6,2,2,a,2,pun,m1,tooth,dentist,1.62355512,-0.565572904,4.45E-06,2.27E-05,2.27E-05
7,2,2,a,2,pun,m1,tooth,tell,-0.768492084,0.804145346,0.00023301,0.00258572,0.00258572
8,2,2,a,2,pun,m1,tooth,patient,0.111725948,-0.432490434,6.59E-05,0.000173539,0.000173539
9,2,2,a,2,pun,m1,tooth,whole,-0.322992663,0.752346196,0.000240294,0.00147051,0.00147051
10,3,3,a,3,pun,m1,cilia,handlebar,-0.820549264,-0.742520611,3.41E-07,1.16E-06,1.16E-06
11,3,3,a,3,pun,m1,cilia,mustache,-0.010195246,-0.297709011,5.69E-08,0.831402,0.831402
12,3,3,a,3,pun,m1,cilia,look,-0.923160237,-0.675208967,0.00041849,0.00319111,0.00319111
13,3,3,a,3,pun,m1,cilia,ridiculous,-0.950474383,1.151378004,1.43E-05,0.000685713,0.000685713
14,3,3,a,3,pun,m1,cilia,symmetrical,-0.360338435,-0.683703022,2.69E-06,1.38E-07,1.38E-07
15,3,3,a,3,pun,m1,cilia,eyelashes,-0.040038203,-0.681557747,1.36E-06,2.23E-06,2.23E-06
16,3,3,a,3,pun,m1,cilia,even,-0.929999881,-0.727122625,0.000706388,0.00095727,0.00095727
17,4,4,a,4,pun,m1,heir,man,0.502701118,1.063789627,0.000473597,0.00439232,0.00439232
18,4,4,a,4,pun,m1,heir,used,-0.58932926,-0.569021165,0.000527346,0.00107986,0.00107986
19,4,4,a,4,pun,m1,heir,money,1.381728734,-0.374102282,0.000292629,7.36E-05,7.36E-05
20,4,4,a,4,pun,m1,heir,inherited,1.404774565,-0.190257313,1.23E-05,0.00114214,0.00114214
21,4,4,a,4,pun,m1,heir,late,0.17890769,-0.845278073,0.000157232,0.000102507,0.000102507
22,4,4,a,4,pun,m1,heir,father,0.721817788,-0.413880798,0.000182887,0.0596654,0.0596654
23,4,4,a,4,pun,m1,heir,put,-0.62358598,-0.378372875,0.000461753,0.000412531,0.000412531
24,4,4,a,4,pun,m1,heir,addition,-0.382613152,-0.450466895,8.02E-05,0.000109647,0.000109647
25,4,4,a,4,pun,m1,heir,house,-0.575083639,-0.768492084,0.000395396,0.000857988,0.000857988
26,4,4,a,4,pun,m1,heir,extension,-0.431374827,0.793788593,2.82E-05,3.65E-06,0.000176939
27,5,5,a,5,pun,m1,clothing,men's,0.854047774,-0.864343966,1.71E-07,1.50E-05,1.50E-05
28,5,5,a,5,pun,m1,clothing,wear,1.273718445,-0.628833021,4.04E-05,0.000220822,0.000220822
29,5,5,a,5,pun,m1,clothing,store,1.517614712,-0.019507567,3.49E-05,0.00012587,0.00012587
30,5,5,a,5,pun,m1,clothing,opening,-0.389128151,1.277368953,6.12E-05,4.96E-06,4.96E-06
31,5,5,a,5,pun,m1,clothing,times,-0.535653622,0.429658664,0.000235099,1.45E-05,0.00744207
32,6,6,a,6,pun,m1,ambiance,paramedic,-0.892589298,0.382651093,3.09E-07,5.80E-06,5.80E-06
33,6,6,a,6,pun,m1,ambiance,got,-0.57113356,-0.863688194,0.000691414,0.000168127,0.000168127
34,6,6,a,6,pun,m1,ambiance,new,-0.360169455,-0.906119465,0.000999228,0.0130291,0.0130291
35,6,6,a,6,pun,m1,ambiance,job,-0.696788693,0.562416838,0.000178196,0.00523224,0.00523224
36,6,6,a,6,pun,m1,ambiance,chauffeur,-0.314530643,-0.390131783,2.09E-06,4.99E-05,4.99E-05
37,6,6,a,6,pun,m1,ambiance,driver,-0.543925855,0.841903822,4.16E-05,3.28E-05,0.03168
38,7,7,a,7,pun,m1,perches,pet,0.543119058,-0.331846317,1.13E-05,5.40E-05,5.40E-05
39,7,7,a,7,pun,m1,perches,store,-0.725018344,1.273688022,3.49E-05,0.000558732,0.000558732
40,7,7,a,7,pun,m1,perches,bird,1.191686169,-0.501370858,3.11E-05,6.08E-05,6.08E-05
41,7,7,a,7,pun,m1,perches,contest,-0.590919012,-0.562537662,1.36E-05,4.43E-06,4.43E-06
42,7,7,a,7,pun,m1,perches,necessary,-0.823158985,0.120207237,0.000143307,3.20E-05,0.000356732
43,8,8,a,8,pun,m1,reword,pun,-0.071790798,-0.787863724,1.02E-06,1.19E-05,1.19E-05
44,9,9,a,9,pun,m1,math,rubber,-0.748391508,-0.582838844,1.26E-05,0.000242318,0.000242318
45,9,9,a,9,pun,m1,math,band,-0.876819151,-0.749418744,5.37E-05,0.102191,0.102191
46,9,9,a,9,pun,m1,math,pistol,-0.820549264,-0.736901481,4.54E-06,1.14E-06,1.14E-06
47,9,9,a,9,pun,m1,math,confiscated,-0.577110797,-0.812923943,1.73E-06,4.57E-05,4.57E-05
48,9,9,a,9,pun,m1,math,algebra,1.85746101,-0.518226951,1.52E-06,7.27E-07,7.27E-07
49,9,9,a,9,pun,m1,math,class,1.118197093,-0.250535633,0.000144006,5.69E-05,5.69E-05
50,9,9,a,9,pun,m1,math,weapon,-0.317952911,0.460125844,1.57E-05,6.59E-05,6.59E-05
51,9,9,a,9,pun,m1,math,disruption,-0.861675739,0.20398117,7.06E-06,9.43E-06,2.10E-06
52,10,10,a,10,pun,m1,stealer,thief,1.548432432,0.538072559,5.80E-06,5.60E-05,5.60E-05
53,10,10,a,10,pun,m1,stealer,stole,1.694467811,0.789595372,7.29E-06,0.0641827,0.0641827
54,10,10,a,10,pun,m1,stealer,cutlery,-0.608574651,-0.228020166,2.47E-06,9.30E-07,9.30E-07
55,10,10,a,10,pun,m1,stealer,leaving,-0.696696471,-0.827171198,7.66E-05,0.00178747,0.00178747
56,10,10,a,10,pun,m1,stealer,clue,-0.367417642,-0.296696232,8.87E-06,9.02E-05,9.02E-05
57,10,10,a,10,pun,m1,stealer,called,-0.73993729,-0.835115108,0.00026112,0.00180818,0.00180818
58,10,10,a,10,pun,m1,stealer,stainless,-0.72768653,-0.09379566,2.50E-06,4.62E-06,4.62E-06
59,11,11,a,11,pun,m1,wicker,getting,-0.802963762,-0.791296213,0.000157378,0.00070527,0.00070527
60,11,11,a,11,pun,m1,wicker,pranked,-0.945886353,0.291268252,8.13E-09,0.00803361,0.00803361
61,11,11,a,11,pun,m1,wicker,friends,-0.929679135,-0.555701691,0.000116952,0.00647206,0.00647206
62,11,11,a,11,pun,m1,wicker,getting,-0.645101213,-0.696201398,0.000157378,0.000115448,0.000115448
63,11,11,a,11,pun,m1,wicker,hit,-0.818366589,0.114935389,7.79E-05,0.000384009,0.000384009
64,11,11,a,11,pun,m1,wicker,basket,1.40920629,-0.680156607,1.02E-05,0.000285154,0.000285154
65,11,11,a,11,pun,m1,wicker,aron,-0.878076745,-0.754020104,1.14E-07,0.00247468,0.00247468
66,11,11,a,11,pun,m1,wicker,knew,-0.853144038,-0.869254404,0.000193747,0.000160494,0.000160494
67,11,11,a,11,pun,m1,wicker,sense,-0.674633301,-0.379664444,0.000171677,3.54E-05,0.0290488
68,11,11,a,11,pun,m1,wicker,humor,-0.696201398,0.643750513,1.06E-07,0.0613029,0.0613029
69,12,12,a,12,pun,m1,spatial,aliens,-0.331103175,-0.179464204,2.86E-06,2.50E-07,2.50E-07
70,12,12,a,12,pun,m1,spatial,lovable,-0.587589366,0.657898682,1.18E-06,3.98E-06,3.98E-06
71,13,13,a,13,pun,m1,whirled,astronaut,-0.177755161,1.200440109,7.80E-07,0.000107909,0.000107909
72,13,13,a,13,pun,m1,whirled,gets,-0.753138191,-0.625352039,6.10E-05,5.91E-05,5.91E-05
73,13,13,a,13,pun,m1,whirled,take,-0.7778778,-0.602837689,0.000559789,0.00200432,0.00200432
74,13,13,a,13,pun,m1,whirled,turn,1.733512144,0.32137873,0.000163905,0.00412682,0.00412682
75,13,13,a,13,pun,m1,whirled,traveler,-0.69952321,1.104669659,2.44E-08,4.48E-06,5.68E-06
76,14,14,a,14,pun,m1,caesars,young,-0.130802016,-0.574533178,0.000260657,0.00380236,0.00380236
77,14,14,a,14,pun,m1,caesars,boy,-0.347430465,-0.205619209,0.000102507,0.0286134,0.0286134
78,14,14,a,14,pun,m1,caesars,brutus',1.099729391,-0.870360782,8.13E-09,0.00129238,0.00129238
79,14,14,a,14,pun,m1,caesars,mother,-0.768492084,-0.804208035,0.000196283,0.000117062,0.000117062
80,14,14,a,14,pun,m1,caesars,cautioned,-0.903392247,1.588185734,1.74E-06,1.64E-05,1.64E-05
81,14,14,a,14,pun,m1,caesars,not,-0.787256892,-1.094772876,0.00346259,0.00299536,0.00299536
82,14,14,a,14,pun,m1,caesars,run,-0.820549264,0.124706242,0.000173262,0.00180346,0.00180346
83,15,15,a,15,pun,m1,launch,astronauts,1.866736686,-0.695418569,7.15E-07,1.02E-07,1.02E-07
84,15,15,a,15,pun,m1,launch,like,-0.825180387,-0.335230617,0.001186943,0.000472291,0.000472291
85,16,16,a,16,pun,m1,bloom,flower,1.436927181,0.682043181,1.85E-05,0.000136395,0.000136395
86,16,16,a,16,pun,m1,bloom,show,0.640303692,-0.593808778,0.000211119,0.019026,0.019026
87,16,16,a,16,pun,m1,bloom,prize,-0.481246649,-0.274261135,2.53E-05,0.00137241,0.00137241
88,16,16,a,16,pun,m1,bloom,ribbon,-0.507494658,0.79998026,5.19E-06,2.43E-06,0.00493645
89,17,17,a,17,pun,m1,flea,pet,1.178779019,-0.392441284,1.13E-05,2.35E-05,2.35E-05
90,17,17,a,17,pun,m1,flea,store,-0.30782313,-0.05921709,3.49E-05,0.000558732,0.000558732
91,17,17,a,17,pun,m1,flea,buy,-0.402777604,0.044471953,9.88E-05,7.62E-05,7.62E-05
92,17,17,a,17,pun,m1,flea,dog,0.892434215,-0.450559247,6.33E-05,7.73E-05,7.73E-05
93,17,17,a,17,pun,m1,flea,get,-0.789078325,0.351543999,0.000769103,0.00019186,0.00019186
94,18,18,a,18,pun,m1,fillings,kind,-0.741261606,0.760959289,0.000189024,0.000280833,0.000280833
95,18,18,a,18,pun,m1,fillings,dentist,1.696305434,-0.227316991,4.45E-06,0.000201085,0.000201085
96,19,19,a,19,pun,m1,salivation,bell,0.318681874,-0.358648754,2.62E-05,5.71E-07,5.71E-07
97,19,19,a,19,pun,m1,salivation,bark,-0.603036147,-0.518201998,4.67E-06,3.60E-06,3.60E-06
98,19,19,a,19,pun,m1,salivation,kennel,-0.12174292,-0.852195938,1.45E-06,5.75E-07,5.75E-07
99,19,19,a,19,pun,m1,salivation,novel,-0.9744652,-0.463107148,3.32E-05,0.000451063,0.000451063
100,19,19,a,19,pun,m1,salivation,ivan,-0.890851734,-0.855225043,4.54E-06,3.35E-09,3.35E-09
101,19,19,a,19,pun,m1,salivation,pavlov,0.539515988,0.155029846,9.84E-07,0.0430161,0.0430161
102,19,19,a,19,pun,m1,salivation,chronicles,-0.658279818,-0.43002334,1.19E-06,6.43E-07,6.43E-07
103,19,19,a,19,pun,m1,salivation,birth,-0.35454071,0.238622737,4.12E-05,0.000129394,0.000129394
104,19,19,a,19,pun,m1,salivation,army,0.091829622,0.114838662,9.02E-05,4.17E-05,4.30E-06
105,20,20,a,20,pun,m1,orifice,dentists,0.194547375,1.238488039,2.38E-06,2.32E-07,2.32E-07
106,20,20,a,20,pun,m1,orifice,like,-0.855225043,-0.964779109,0.001186943,0.0142077,0.0142077
107,20,20,a,20,pun,m1,orifice,hard,-0.497426638,-0.360273011,0.000179481,0.000703352,0.000703352
108,20,20,a,20,pun,m1,orifice,day,-0.740043375,0.26177945,0.000484189,0.0281796,0.0281796
109,21,21,a,21,pun,m1,braille,even,-0.801476003,-0.768492084,0.000706388,3.67E-05,3.67E-05
110,21,21,a,21,pun,m1,braille,ashley,-0.506866596,-0.318165828,8.55E-06,0.00274991,0.00274991
