uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2
1,pun,m1,1.45411702677e+107,4.473879182e+103,6,6
2,pun,m1,6.84328593058e+91,1.24031601253e+87,5,5
3,pun,m1,4.94243821177e+137,6.80883509791e+128,8,8
4,pun,m1,5.58809121722e+202,2.91253339785e+193,11,11
5,pun,m1,3.71437086755e+106,4.23817873818e+103,6,6
6,pun,m1,7.34117761206e+120,3.94216244127e+122,7,7
7,pun,m1,1.86387066172e+102,1.22107806796e+99,6,6
8,pun,m1,6.82797692353e+30,1.07041718504e+30,2,2
9,pun,m1,4.75408152115e+152,2.02606194276e+148,9,9
10,pun,m1,1.8535332953e+138,8.05897817451e+126,8,8
11,pun,m1,3.03503034084e+200,2.01448218779e+197,11,11
12,pun,m1,9.64250485187e+49,2.80151663372e+45,3,3
13,pun,m1,4.42245441429e+105,1.06026889358e+104,6,6
14,pun,m1,1.03402057726e+143,4.70087817056e+139,8,8
15,pun,m1,1.88117306904e+52,2.190527501e+43,3,3
16,pun,m1,1.07516792133e+92,5.63560611169e+88,5,5
17,pun,m1,8.30247252094e+104,6.96967280328e+102,6,6
18,pun,m1,1.21679351759e+53,6.39927369093e+48,3,3
19,pun,m1,2.06276360811e+162,1.11190647483e+156,10,10
20,pun,m1,1.97961940999e+89,2.59814412102e+87,5,5
21,pun,m1,1.35109740852e+159,1.08179627627e+153,9,9
22,pun,m1,3.7973791265e+246,5.57757394872e+235,14,14
23,pun,m1,1.15733687458e+93,2.42249046221e+88,5,5
24,pun,m1,5.54617001276e+83,2.46090275886e+77,5,5
25,pun,m1,2.02912896244e+91,1.6052092741e+85,5,5
26,pun,m1,1.08123615314e+160,2.13489578886e+157,9,9
27,pun,m1,1.36810467487e+141,8.23166868366e+135,8,8
28,pun,m1,8.79822816812e+121,1.12826356933e+116,7,7
29,pun,m1,4.64507441999e+90,3.33055758614e+80,5,5
30,pun,m1,3.75485362564e+125,1.03871007276e+124,7,7
