ID,Sentence type,m1,m2,Sentence,m1 Semantic Focus Set,m2 Semantic Focus Set,Ambiguity,Distinctiveness,Funniness
1,pun,prophet,profit,Atheism is a non #prophet organization.,prophet;atheism;organization,non;organization,0.32975385,1.752704112,1.591758031
2,pun,pi,pie,I get my large circumference from too much #pi.,pi;circumference,circumference;large,0.489161092,0.989737354,1.760403626
3,pun,knead,need,Bakers trade bread recipes on a #knead to know basis.,knead;bakers;bread;recipes,basis;trade,0.196944446,3.448321766,0.85181353
4,pun,oar,or,The indecisive rower could not choose either #oar.,oar;rower,choose;either;indecisive;not,0.00046166,5.116293632,1.265360036
5,pun,tiers,tears,It was an emotional wedding. Even the cake was in #tiers.,tiers;cake;wedding,emotional;wedding,0.611971642,2.310935592,1.540639932
6,pun,poll,pole,A new country decided to conduct a flag #poll.,poll;conduct;decided;flag,flag,0.048262905,1.831706189,-0.102654508
7,pun,bored,board,At some executive meetings there is a chairman of the #bored.,bored;meetings,chairman;executive;meetings,0.013129794,2.625763153,1.300298429
8,pun,greece,grease,Did you know that donuts were first made in #Greece?,greece,donuts,0.209116053,1.252658351,0.331241123
9,pun,sine,sign,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,sine;trigonometry,prayed;trigonometry,0.052431275,1.474587556,1.764998789
10,pun,principal,principle,It was not school john disliked. It was just the #principal of it.,principal;just;school,disliked;just;school,0.22654105,1.204076601,1.136783788
11,pun,cd,seedy,Some music stores are in a #CD part of town.,cd;music;stores,,0.000207699,2.27516679,0.81244382
12,pun,hare,hair,The magician got so mad he pulled his #hare out.,hare;magician,pulled,0.378119331,2.291080539,1.713986516
13,pun,knotty,naughty,The young pine sapling was admonished by his father. Apparently he had been #knotty.,knotty;sapling,admonished;young,0.257978244,1.564477395,1.08482261
14,pun,taut,taught,To learn rope tricks you have to be #taut.,taut;rope,learn;tricks,0.094642718,2.453621369,1.139856033
15,pun,marx,marks,I dropped out of communism class because of lousy #Marx.,marx;class;communism,class,0.653155398,1.972799085,1.447345186
16,pun,hi,high,A boy who instinctively waves at people has a natural #hi.,hi;people,waves,0.585239261,1.240040923,0.964876241
17,pun,daze,days,A teacher having a tough time longs for the end of the school #daze.,daze,school;time;tough,0.000717013,2.40247071,0.239893192
18,pun,prose,pros,Authors in jail have their #prose and cons.,prose;authors,authors;cons,0.682630443,2.112293649,1.674937023
19,pun,plane,plain,Do not expect to eat something fancy when you are flying because it is #plane food.,plane;flying;food,fancy;food,0.1490128,2.19587684,0.223710426
20,pun,dam,damn,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,dam;beaver,beaver,0.192207569,1.533599926,2.004747311
21,pun,hertz,hurts,My computer is so slow it #hertz.,hertz;computer,,0.157734181,1.540673247,1.166764828
22,pun,role,roll,The actors had one great movie after another. They were on a #role.,role;actors;movie,movie,0.01795443,1.882648292,1.524418334
23,pun,collar,caller,The man put his name on the neck of his shirt so he would have #collar ID.,collar;id;man;neck;shirt,id;man;name,0.033381138,3.309772201,2.013055364
24,pun,steal,steel,Thieves have muscles of #steal.,steal;thieves,,0.363911671,2.054483584,1.714323731
25,pun,dye,die,When an actress saw her first strands of gray hair she thought she would #dye.,dye;gray;hair;strands,gray,0.163877334,2.458414206,1.759157449
26,pun,waist,waste,A cardboard belt would be a #waist of paper.,waist;belt,cardboard;paper,0.591946053,2.675810911,1.057899945
27,pun,feet,feat,Being able to fit size fourteen shoes is quite a #feet.,feet;fourteen;shoes;size,able,0.002581686,2.807152454,0.547984458
28,pun,aloud,allowed,The mime wanted to say something but he was not #aloud.,aloud;say,wanted,0.692180432,1.604502001,1.73956032
29,pun,pail,pale,Those who carry too many buckets start feeling #pail.,pail;buckets;carry,,0.391314771,1.684932684,1.229952522
30,pun,manor,manner,A man's home is his castle in a #manor of speaking.,manor;castle;home,castle;speaking,0.219992416,2.355845426,1.138186618
31,pun,cache,cash,An online poker tournament ended suddenly when the computer #cached in its chips.,cache;computer;online,chips;poker;tournament,0.123814529,3.511309471,1.192216902
32,pun,reign,rain,Britain is a wet place since the queen has had a long #reign.,reign;britain;long;queen,britain;wet,0.437262559,4.297439096,1.427947533
33,pun,thyme,time,Herb gardeners who work extra get #thyme and a half.,thyme;gardeners;herb,extra;work,0.154806611,3.769475895,2.054690738
34,pun,pore,poor,If you say you have bad skin I would say that was a #pore excuse.,pore;skin,bad;excuse,0.308277089,2.430140732,1.372848228
35,pun,gilt,guilt,People who like gold paint have a #gilt complex.,gilt;gold,complex;people,0.593599839,1.522932263,0.397982984
36,pun,heir,err,To #heir is human.,heir;human,human,0.586636717,0.926649697,0.300391981
37,pun,son,sun,When their boy was little they only got rest after #son down.,son;boy;only,,0.079672563,2.175407245,1.512159044
38,pun,c's,seas,Novice pirates make terrible singers because they cannot hit the high #Cs.,c's,high;pirates;terrible,0.590465466,3.02166651,1.463607939
39,pun,watt,what,An electrician is a bright spark who knows what's #watt.,watt;bright;electrician;spark,knows;what's,0.662602568,4.911118285,1.647324284
40,pun,razor,raiser,When the mayor wanted to slash the budget he turned to a fund #razor.,razor;slash,fund,0.139235541,2.623382409,1.402262509
41,pun,knot,not,Boyscouts know which ropes to tie and what #knot.  ,knot;boyscouts;ropes;tie,,0.352093744,4.570878192,0.789597892
42,pun,wood,would,If you could ask someone anything about trees what #wood you ask?,wood;trees,ask;ask,0.682266042,2.919220357,0.601320326
43,pun,grader,grater,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.,grader;cheese;person;school,cheddar;cheese;colby,0.133894435,3.695927667,1.869881304
44,pun,eye,i,I'm blind so #eye can't see.,eye;blind;see,,0.29205031,3.035835463,0.801384986
45,pun,cell,sell,We didn't know whether to keep our biology program or #cell it.,cell;biology,keep;program,0.162662441,2.384267615,0.949719411
46,pun,scent,cent,It will cost you more than a #scent to get rid of that smell.,scent;smell,cost,0.658597274,3.913664299,1.024070666
47,pun,course,coarse,I tried to stick with the rough class but it was just too #course for my liking.,course;class;rough,rough,0.008313724,2.299910106,0.41693277
48,pun,deer,dear,Our pet is very #deer to us.,deer;pet,pet,0.636206847,1.013408528,0.668438319
49,pun,bee,be,You don't want to #bee around a hive for too long.,bee;hive,,0.454288698,2.417703603,1.231537653
50,pun,brake,break,You should run really fast but be careful not to #brake anything.,brake;careful;fast,careful;fast;run,0.677733115,1.07477715,-0.013703885
51,pun,flour,flower,The pastry chef brought his girlfriend #flours on Valentine's Day.,flour;chef;pastry,brought;day;girlfriend;valentine's,0.07316707,4.373675641,1.109187676
52,pun,fare,fair,The driver at the toll insisted it wasn't #fare.,fare;driver;toll,toll,0.56366548,1.745660136,0.722045779
53,pun,heel,heal,He injured his foot and now it just won't #heel.,heel;foot;injured,injured,0.212360672,2.155409985,-0.029274472
54,pun,hymn,him,I wrote a song about my priest so that I could perform it for #hymn.,hymn;perform;priest;song;wrote,perform;priest,0.562425665,2.330132671,0.735351822
