uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,dummy
1,1,1-a,1,pun,0,prophet,atheism,1
1,1,1-a,1,pun,0,prophet,non,1
1,1,1-a,1,pun,0,prophet,organization,1
2,2,2-a,2,pun,0,pi,get,1
2,2,2-a,2,pun,0,pi,large,1
2,2,2-a,2,pun,0,pi,circumference,1
3,3,3-a,3,pun,0,knead,bakers,1
3,3,3-a,3,pun,0,knead,trade,1
3,3,3-a,3,pun,0,knead,bread,1
3,3,3-a,3,pun,0,knead,recipes,1
3,3,3-a,3,pun,0,knead,know,1
3,3,3-a,3,pun,0,knead,basis,1
4,4,4-a,4,pun,0,oar,indecisive,1
4,4,4-a,4,pun,0,oar,rower,1
4,4,4-a,4,pun,0,oar,not,1
4,4,4-a,4,pun,0,oar,choose,1
4,4,4-a,4,pun,0,oar,either,1
5,5,5-a,5,pun,0,tiers,emotional,1
5,5,5-a,5,pun,0,tiers,wedding,1
5,5,5-a,5,pun,0,tiers,even,1
5,5,5-a,5,pun,0,tiers,cake,1
6,6,6-a,6,pun,0,poll,new,1
6,6,6-a,6,pun,0,poll,country,1
6,6,6-a,6,pun,0,poll,decided,1
6,6,6-a,6,pun,0,poll,conduct,1
6,6,6-a,6,pun,0,poll,flag,1
7,7,7-a,7,pun,0,bored,executive,1
7,7,7-a,7,pun,0,bored,meetings,1
7,7,7-a,7,pun,0,bored,chairman,1
8,8,8-a,8,pun,0,greece,know,1
8,8,8-a,8,pun,0,greece,donuts,1
8,8,8-a,8,pun,0,greece,made,1
9,9,9-a,9,pun,0,sine,prayed,1
9,9,9-a,9,pun,0,sine,trigonometry,1
9,9,9-a,9,pun,0,sine,tests,1
9,9,9-a,9,pun,0,sine,hoping,1
9,9,9-a,9,pun,0,sine,above,1
10,10,10-a,10,pun,0,principal,not,1
10,10,10-a,10,pun,0,principal,school,1
10,10,10-a,10,pun,0,principal,john,1
10,10,10-a,10,pun,0,principal,disliked,1
10,10,10-a,10,pun,0,principal,just,1
11,11,11-a,11,pun,0,cd,music,1
11,11,11-a,11,pun,0,cd,stores,1
11,11,11-a,11,pun,0,cd,part,1
11,11,11-a,11,pun,0,cd,town,1
12,12,12-a,12,pun,0,hare,magician,1
12,12,12-a,12,pun,0,hare,got,1
12,12,12-a,12,pun,0,hare,mad,1
12,12,12-a,12,pun,0,hare,pulled,1
12,12,12-a,12,pun,0,hare,out,1
13,13,13-a,13,pun,0,knotty,young,1
13,13,13-a,13,pun,0,knotty,pine,1
13,13,13-a,13,pun,0,knotty,sapling,1
13,13,13-a,13,pun,0,knotty,admonished,1
13,13,13-a,13,pun,0,knotty,father,1
13,13,13-a,13,pun,0,knotty,apparently,1
14,14,14-a,14,pun,0,taut,learn,1
14,14,14-a,14,pun,0,taut,rope,1
14,14,14-a,14,pun,0,taut,tricks,1
15,15,15-a,15,pun,0,marx,dropped,1
15,15,15-a,15,pun,0,marx,out,1
15,15,15-a,15,pun,0,marx,communism,1
15,15,15-a,15,pun,0,marx,class,1
15,15,15-a,15,pun,0,marx,lousy,1
16,16,16-a,16,pun,0,hi,boy,1
16,16,16-a,16,pun,0,hi,instinctively,1
16,16,16-a,16,pun,0,hi,waves,1
16,16,16-a,16,pun,0,hi,people,1
16,16,16-a,16,pun,0,hi,natural,1
17,17,17-a,17,pun,0,daze,teacher,1
17,17,17-a,17,pun,0,daze,having,1
17,17,17-a,17,pun,0,daze,tough,1
17,17,17-a,17,pun,0,daze,time,1
17,17,17-a,17,pun,0,daze,longs,1
17,17,17-a,17,pun,0,daze,end,1
17,17,17-a,17,pun,0,daze,school,1
18,18,18-a,18,pun,0,prose,authors,1
18,18,18-a,18,pun,0,prose,jail,1
18,18,18-a,18,pun,0,prose,cons,1
19,19,19-a,19,pun,0,plane,not,1
19,19,19-a,19,pun,0,plane,expect,1
19,19,19-a,19,pun,0,plane,eat,1
19,19,19-a,19,pun,0,plane,fancy,1
19,19,19-a,19,pun,0,plane,flying,1
