phoneticID,homophone,word
1,profit,atheism
1,profit,biblical
1,profit,business
1,profit,daniel
1,profit,dollars
1,profit,dreams
1,profit,interpreting
1,profit,known
1,profit,made
1,profit,million
1,profit,nationalism
1,profit,non
1,profit,non
1,profit,organization
1,profit,organization
1,profit,year
1,prophet,atheism
1,prophet,biblical
1,prophet,business
1,prophet,daniel
1,prophet,dollars
1,prophet,dreams
1,prophet,interpreting
1,prophet,known
1,prophet,made
1,prophet,million
1,prophet,nationalism
1,prophet,non
1,prophet,non
1,prophet,organization
1,prophet,organization
1,prophet,year
2,pi,apple
2,pi,circumference
2,pi,decimal
2,pi,dessert
2,pi,get
2,pi,get
2,pi,large
2,pi,large
2,pi,like
2,pi,number
2,pi,places
2,pi,recite
2,pi,ten
2,pi,up
2,pi,waistline
2,pie,apple
2,pie,circumference
2,pie,decimal
2,pie,dessert
2,pie,get
2,pie,get
2,pie,large
2,pie,large
2,pie,like
2,pie,number
2,pie,places
2,pie,recite
2,pie,ten
2,pie,up
2,pie,waistline
3,knead,bakers
3,knead,bakers
3,knead,basis
3,knead,basis
3,knead,bread
3,knead,bread
3,knead,cake
3,knead,company
3,knead,computer
3,knead,dough
3,knead,flour
3,knead,know
3,knead,know
3,knead,make
3,knead,milk
3,knead,mothers
3,knead,programmers
3,knead,recipes
3,knead,recipes
3,knead,together
3,knead,trade
3,knead,trade
3,need,bakers
3,need,bakers
3,need,basis
3,need,basis
3,need,bread
3,need,bread
3,need,cake
3,need,company
3,need,computer
3,need,dough
3,need,flour
3,need,know
3,need,know
3,need,make
3,need,milk
3,need,mothers
3,need,programmers
3,need,recipes
3,need,recipes
3,need,together
3,need,trade
3,need,trade
4,oar,car
4,oar,care
4,oar,choose
4,oar,choose
4,oar,customer
4,oar,dipped
4,oar,either
4,oar,either
4,oar,fisherman
4,oar,indecisive
4,oar,indecisive
4,oar,not
4,oar,not
4,oar,problems
4,oar,river
4,oar,rower
4,oar,take
4,or,car
4,or,care
4,or,choose
4,or,choose
4,or,customer
4,or,dipped
4,or,either
4,or,either
4,or,fisherman
4,or,indecisive
4,or,indecisive
4,or,not
4,or,not
4,or,problems
4,or,river
4,or,rower
4,or,take
5,tears,boxes
5,tears,cake
5,tears,cheeks
5,tears,emotional
5,tears,emotional
5,tears,even
5,tears,even
5,tears,mother-in-law
5,tears,movie
5,tears,ran
5,tears,sad
5,tears,stacked
5,tears,warehouse
5,tears,watched
5,tears,wedding
5,tears,wedding
5,tiers,boxes
5,tiers,cake
5,tiers,cheeks
5,tiers,emotional
5,tiers,emotional
