uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,dummy
1,236,1,1-b,1,pun,1,profit,atheism,1
2,341,106,1-b,1,nonpun,1,profit,biblical,1
3,171,171,1-b,1,nonpun,0,profit,business,1
4,341,106,1-b,1,nonpun,1,profit,daniel,1
5,171,171,1-b,1,nonpun,0,profit,dollars,1
6,341,106,1-b,1,nonpun,1,profit,dreams,1
7,341,106,1-b,1,nonpun,1,profit,interpreting,1
8,341,106,1-b,1,nonpun,1,profit,known,1
9,171,171,1-b,1,nonpun,0,profit,made,1
10,171,171,1-b,1,nonpun,0,profit,million,1
11,301,66,1-b,1,depunned,1,profit,nationalism,1
12,236,1,1-b,1,pun,1,profit,non,1
12,301,66,1-b,1,depunned,1,profit,non,1
13,236,1,1-b,1,pun,1,profit,organization,1
13,301,66,1-b,1,depunned,1,profit,organization,1
14,171,171,1-b,1,nonpun,0,profit,year,1
15,1,1,1-a,1,pun,0,prophet,atheism,1
16,106,106,1-a,1,nonpun,0,prophet,biblical,1
17,406,171,1-a,1,nonpun,1,prophet,business,1
18,106,106,1-a,1,nonpun,0,prophet,daniel,1
19,406,171,1-a,1,nonpun,1,prophet,dollars,1
20,106,106,1-a,1,nonpun,0,prophet,dreams,1
21,106,106,1-a,1,nonpun,0,prophet,interpreting,1
22,106,106,1-a,1,nonpun,0,prophet,known,1
23,406,171,1-a,1,nonpun,1,prophet,made,1
24,406,171,1-a,1,nonpun,1,prophet,million,1
25,66,66,1-a,1,depunned,0,prophet,nationalism,1
26,1,1,1-a,1,pun,0,prophet,non,1
26,66,66,1-a,1,depunned,0,prophet,non,1
27,1,1,1-a,1,pun,0,prophet,organization,1
27,66,66,1-a,1,depunned,0,prophet,organization,1
28,406,171,1-a,1,nonpun,1,prophet,year,1
29,407,172,2-a,2,nonpun,1,pi,apple,1
30,2,2,2-a,2,pun,0,pi,circumference,1
31,107,107,2-a,2,nonpun,0,pi,decimal,1
32,407,172,2-a,2,nonpun,1,pi,dessert,1
33,2,2,2-a,2,pun,0,pi,get,1
33,67,67,2-a,2,depunned,0,pi,get,1
34,2,2,2-a,2,pun,0,pi,large,1
34,67,67,2-a,2,depunned,0,pi,large,1
35,407,172,2-a,2,nonpun,1,pi,like,1
36,107,107,2-a,2,nonpun,0,pi,number,1
37,107,107,2-a,2,nonpun,0,pi,places,1
38,107,107,2-a,2,nonpun,0,pi,recite,1
39,107,107,2-a,2,nonpun,0,pi,ten,1
